dependent variable,reg_spec,n_lags,value,t-statistic,significance,LB (90.00% ci),UB (90.00% ci),p_val,index
Indiana,gar_sfh_crsp,3,-0.0023950864167663556,-0.7558062646149407,0,-0.007614357103554157,0.0028241842700214436,0.45001816963342023,44
Pennsylvania,gar_sfh_crsp,3,-0.0014651683501494548,-1.13131090998299,0,-0.0035982362205227983,0.0006678995202238878,0.2583094794438643,45
North Carolina,gar_sfh_crsp,3,-0.0024955293586397856,-0.7744401368148107,0,-0.007802833196548087,0.0028117744792685146,0.4389305643304411,46
Kentucky,gar_sfh_crsp,3,-0.0030190148649382894,-1.8092849233066493,1,-0.005767272277032042,-0.0002707574528445387,0.07083316235565329,47
Maryland,gar_sfh_crsp,3,-0.004495717695303004,-1.385873610686447,0,-0.009838586718788327,0.0008471513281823164,0.16622432960282207,48
United States,gar_sfh_crsp,1,0.008541111773490173,1.2552912907562568,0,-0.0026652793846415612,0.019747502931621905,0.2097871887572602,0
Florida,gar_sfh_crsp,1,0.0077419670066008325,1.1107323357061367,0,-0.0037379246330344,0.01922185864623606,0.2670606506582698,1
Georgia,gar_sfh_crsp,1,0.011491242412387583,2.2506515959426996,1,0.0030820439282714836,0.01990044089650368,0.02471369307227378,2
Ohio,gar_sfh_crsp,1,-0.004802141114829618,-1.2016506614533091,0,-0.01138406075998696,0.001779778530327722,0.22990069695012894,3
Michigan,gar_sfh_crsp,1,0.0026003783386325877,0.678160469728622,0,-0.003715008482490803,0.008915765159755975,0.49789152956717064,4
Washington,gar_sfh_crsp,1,0.0024521544171346803,0.9672429437508124,0,-0.0017233421672973562,0.0066276510015667155,0.3337528809077519,5
Illinois,gar_sfh_crsp,1,0.0010495796722983341,0.4395113453972818,0,-0.0028835766568179825,0.004982736001414649,0.6604251797685206,6
Mississippi,gar_sfh_crsp,1,0.0015333981087871907,0.5272129012800064,0,-0.0032569247149284854,0.0063237209325028645,0.5982109062598466,7
California,gar_sfh_crsp,1,-0.0014088895012344205,-0.39522202867132694,0,-0.007280154431673388,0.0044623754292045445,0.692798082905516,8
Wisconsin,gar_sfh_crsp,1,0.002603342544563846,0.8016399911363277,0,-0.0027453523975997348,0.007952037486727424,0.423030199583734,9
New Mexico,gar_sfh_crsp,1,0.0005484235856548405,0.34251458845393595,0,-0.002088714906958726,0.003185562078268406,0.7320653254969436,10
Alabama,gar_sfh_crsp,1,0.002944326309340588,1.1517484032621381,0,-0.0012660819468130456,0.00715473456549422,0.24981324933651217,11
Missouri,gar_sfh_crsp,1,0.00038109091350698403,0.2509314652414222,0,-0.002120229682280448,0.0028824115092944153,0.8019399029269134,12
Minnesota,gar_sfh_crsp,1,0.0010086958231855397,0.9457147013981358,0,-0.0007479975781971811,0.00276538922456826,0.34461675916623635,13
Nebraska,gar_sfh_crsp,1,0.001934699013834318,1.2661836146023817,0,-0.0005818918114022169,0.004451289839070852,0.20586379583440317,14
Colorado,gar_sfh_crsp,1,0.00432584492154607,1.482341097263331,0,-0.00048054150607499714,0.009132231349167136,0.13869450720856413,15
North Dakota,gar_sfh_crsp,1,-4.2794041835606225e-07,-0.02125242740758788,0,-3.359222653628385e-05,3.273634569957171e-05,0.9830502806143366,16
Kansas,gar_sfh_crsp,1,-0.00025444871018334616,-0.1476717673253627,0,-0.0030923590412717636,0.00258346162090507,0.8826438573169979,17
South Dakota,gar_sfh_crsp,1,-5.939365512823483e-05,-0.3573398145034898,0,-0.0003331439105429286,0.0002143566002864588,0.7209439164490035,18
Connecticut,gar_sfh_crsp,1,-0.00049882111117659,-0.13420981428062162,0,-0.006620301152840828,0.005622658930487646,0.8932748067095342,19
Arkansas,gar_sfh_crsp,1,0.0021556784738855812,0.7245191292460769,0,-0.0027447044323794427,0.0070560613801506035,0.46898644111619525,20
Rhode Island,gar_sfh_crsp,1,-0.0001630423709894997,-0.09749277573059764,0,-0.0029174228683875175,0.0025913381264085177,0.9223626632377044,21
Oklahoma,gar_sfh_crsp,1,-0.001953548431571657,-0.45688801179237065,0,-0.00899578009259425,0.005088683229450932,0.6478916842277005,22
New York,gar_sfh_crsp,1,-0.0020507034462778637,-1.6443441377019072,0,-0.004104729910204458,3.3230176487296544e-06,0.10054905152759974,23
West Virginia,gar_sfh_crsp,1,-0.0013484634495771774,-2.089776170692677,1,-0.0024112236802122386,-0.0002857032189421166,0.0369942040628346,24
Idaho,gar_sfh_crsp,1,0.000735398748159021,0.6938489505751914,0,-0.0010102378488885781,0.0024810353452066197,0.4880045216576314,25
Montana,gar_sfh_crsp,1,-0.0008141658077787199,-0.7893747752429499,0,-0.002512900292129536,0.0008845686765720957,0.4301572619815224,26
